,Name,#,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary
395,Snorunt,361,Ice,,300,50,50,50,50,50,50,3,False
396,Glalie,362,Ice,,480,80,80,80,80,80,80,3,False
397,GlalieMega Glalie,362-mega,Ice,,580,80,120,80,120,80,100,3,False
398,Spheal,363,Ice,Water,290,70,40,50,55,50,25,3,False
399,Sealeo,364,Ice,Water,410,90,60,70,75,70,45,3,False
400,Walrein,365,Ice,Water,530,110,80,90,95,90,65,3,False
401,Clamperl,366,Water,,345,35,64,85,74,55,32,3,False
402,Huntail,367,Water,,485,55,104,105,94,75,52,3,False
403,Gorebyss,368,Water,,485,55,84,105,114,75,52,3,False
404,Relicanth,369,Water,Rock,485,100,90,130,45,65,55,3,False
405,Luvdisc,370,Water,,330,43,30,55,40,65,97,3,False
406,Bagon,371,Dragon,,300,45,75,60,40,30,50,3,False
407,Shelgon,372,Dragon,,420,65,95,100,60,50,50,3,False
408,Salamence,373,Dragon,Flying,600,95,135,80,110,80,100,3,False
409,SalamenceMega Salamence,373-mega,Dragon,Flying,700,95,145,130,120,90,120,3,False
410,Beldum,374,Steel,Psychic,300,40,55,80,35,60,30,3,False
411,Metang,375,Steel,Psychic,420,60,75,100,55,80,50,3,False
412,Metagross,376,Steel,Psychic,600,80,135,130,95,90,70,3,False
413,MetagrossMega Metagross,376-mega,Steel,Psychic,700,80,145,150,105,110,110,3,False
414,Regirock,377,Rock,,580,80,100,200,50,100,50,3,True
415,Regice,378,Ice,,580,80,50,100,100,200,50,3,True
416,Registeel,379,Steel,,580,80,75,150,75,150,50,3,True
417,Latias,380,Dragon,Psychic,600,80,80,90,110,130,110,3,True
418,LatiasMega Latias,380-mega,Dragon,Psychic,700,80,100,120,140,150,110,3,True
419,Latios,381,Dragon,Psychic,600,80,90,80,130,110,110,3,True
420,LatiosMega Latios,381-mega,Dragon,Psychic,700,80,130,100,160,120,110,3,True
421,Kyogre,382,Water,,670,100,100,90,150,140,90,3,True
422,KyogrePrimal Kyogre,382-primal,Water,,770,100,150,90,180,160,90,3,True
423,Groudon,383,Ground,,670,100,150,140,100,90,90,3,True
424,GroudonPrimal Groudon,383-primal,Ground,Fire,770,100,180,160,150,90,90,3,True
425,Rayquaza,384,Dragon,Flying,680,105,150,90,150,90,95,3,True
426,RayquazaMega Rayquaza,384-mega,Dragon,Flying,780,105,180,100,180,100,115,3,True
427,Jirachi,385,Steel,Psychic,600,100,100,100,100,100,100,3,True
428,DeoxysNormal Forme,386-normal,Psychic,,600,50,150,50,150,50,150,3,True
429,DeoxysAttack Forme,386-attack,Psychic,,600,50,180,20,180,20,150,3,True
430,DeoxysDefense Forme,386-defense,Psychic,,600,50,70,160,70,160,90,3,True
431,DeoxysSpeed Forme,386-speed,Psychic,,600,50,95,90,95,90,180,3,True
432,Turtwig,387,Grass,,318,55,68,64,45,55,31,4,False
433,Grotle,388,Grass,,405,75,89,85,55,65,36,4,False
434,Torterra,389,Grass,Ground,525,95,109,105,75,85,56,4,False
435,Chimchar,390,Fire,,309,44,58,44,58,44,61,4,False
436,Monferno,391,Fire,Fighting,405,64,78,52,78,52,81,4,False
437,Infernape,392,Fire,Fighting,534,76,104,71,104,71,108,4,False
438,Piplup,393,Water,,314,53,51,53,61,56,40,4,False
439,Prinplup,394,Water,,405,64,66,68,81,76,50,4,False
440,Empoleon,395,Water,Steel,530,84,86,88,111,101,60,4,False
441,Starly,396,Normal,Flying,245,40,55,30,30,30,60,4,False
442,Staravia,397,Normal,Flying,340,55,75,50,40,40,80,4,False
443,Staraptor,398,Normal,Flying,485,85,120,70,50,60,100,4,False
444,Bidoof,399,Normal,,250,59,45,40,35,40,31,4,False
445,Bibarel,400,Normal,Water,410,79,85,60,55,60,71,4,False
446,Kricketot,401,Bug,,194,37,25,41,25,41,25,4,False
447,Kricketune,402,Bug,,384,77,85,51,55,51,65,4,False
448,Shinx,403,Electric,,263,45,65,34,40,34,45,4,False
449,Luxio,404,Electric,,363,60,85,49,60,49,60,4,False
450,Luxray,405,Electric,,523,80,120,79,95,79,70,4,False
451,Budew,406,Grass,Poison,280,40,30,35,50,70,55,4,False
452,Roserade,407,Grass,Poison,515,60,70,65,125,105,90,4,False
453,Cranidos,408,Rock,,350,67,125,40,30,30,58,4,False
454,Rampardos,409,Rock,,495,97,165,60,65,50,58,4,False
455,Shieldon,410,Rock,Steel,350,30,42,118,42,88,30,4,False
456,Bastiodon,411,Rock,Steel,495,60,52,168,47,138,30,4,False
457,Burmy,412,Bug,,224,40,29,45,29,45,36,4,False
458,WormadamPlant Cloak,413-plant,Bug,Grass,424,60,59,85,79,105,36,4,False
459,WormadamSandy Cloak,413-sandy,Bug,Ground,424,60,79,105,59,85,36,4,False
460,WormadamTrash Cloak,413-trash,Bug,Steel,424,60,69,95,69,95,36,4,False
461,Mothim,414,Bug,Flying,424,70,94,50,94,50,66,4,False
462,Combee,415,Bug,Flying,244,30,30,42,30,42,70,4,False
463,Vespiquen,416,Bug,Flying,474,70,80,102,80,102,40,4,False
464,Pachirisu,417,Electric,,405,60,45,70,45,90,95,4,False
465,Buizel,418,Water,,330,55,65,35,60,30,85,4,False
466,Floatzel,419,Water,,495,85,105,55,85,50,115,4,False
467,Cherubi,420,Grass,,275,45,35,45,62,53,35,4,False
468,Cherrim,421,Grass,,450,70,60,70,87,78,85,4,False
469,Shellos,422,Water,,325,76,48,48,57,62,34,4,False
470,Gastrodon,423,Water,Ground,475,111,83,68,92,82,39,4,False
471,Ambipom,424,Normal,,482,75,100,66,60,66,115,4,False
472,Drifloon,425,Ghost,Flying,348,90,50,34,60,44,70,4,False
473,Drifblim,426,Ghost,Flying,498,150,80,44,90,54,80,4,False
474,Buneary,427,Normal,,350,55,66,44,44,56,85,4,False
475,Lopunny,428,Normal,,480,65,76,84,54,96,105,4,False
476,LopunnyMega Lopunny,428-mega,Normal,Fighting,580,65,136,94,54,96,135,4,False
477,Mismagius,429,Ghost,,495,60,60,60,105,105,105,4,False
478,Honchkrow,430,Dark,Flying,505,100,125,52,105,52,71,4,False
479,Glameow,431,Normal,,310,49,55,42,42,37,85,4,False
480,Purugly,432,Normal,,452,71,82,64,64,59,112,4,False
481,Chingling,433,Psychic,,285,45,30,50,65,50,45,4,False
482,Stunky,434,Poison,Dark,329,63,63,47,41,41,74,4,False
483,Skuntank,435,Poison,Dark,479,103,93,67,71,61,84,4,False
484,Bronzor,436,Steel,Psychic,300,57,24,86,24,86,23,4,False
485,Bronzong,437,Steel,Psychic,500,67,89,116,79,116,33,4,False
486,Bonsly,438,Rock,,290,50,80,95,10,45,10,4,False
487,Mime Jr.,439,Psychic,Fairy,310,20,25,45,70,90,60,4,False
488,Happiny,440,Normal,,220,100,5,5,15,65,30,4,False
489,Chatot,441,Normal,Flying,411,76,65,45,92,42,91,4,False
490,Spiritomb,442,Ghost,Dark,485,50,92,108,92,108,35,4,False
491,Gible,443,Dragon,Ground,300,58,70,45,40,45,42,4,False
492,Gabite,444,Dragon,Ground,410,68,90,65,50,55,82,4,False
493,Garchomp,445,Dragon,Ground,600,108,130,95,80,85,102,4,False
494,GarchompMega Garchomp,445-mega,Dragon,Ground,700,108,170,115,120,95,92,4,False
495,Munchlax,446,Normal,,390,135,85,40,40,85,5,4,False
496,Riolu,447,Fighting,,285,40,70,40,35,40,60,4,False
497,Lucario,448,Fighting,Steel,525,70,110,70,115,70,90,4,False
498,LucarioMega Lucario,448-mega,Fighting,Steel,625,70,145,88,140,70,112,4,False
499,Hippopotas,449,Ground,,330,68,72,78,38,42,32,4,False
500,Hippowdon,450,Ground,,525,108,112,118,68,72,47,4,False
501,Skorupi,451,Poison,Bug,330,40,50,90,30,55,65,4,False
502,Drapion,452,Poison,Dark,500,70,90,110,60,75,95,4,False
503,Croagunk,453,Poison,Fighting,300,48,61,40,61,40,50,4,False
504,Toxicroak,454,Poison,Fighting,490,83,106,65,86,65,85,4,False
505,Carnivine,455,Grass,,454,74,100,72,90,72,46,4,False
506,Finneon,456,Water,,330,49,49,56,49,61,66,4,False
507,Lumineon,457,Water,,460,69,69,76,69,86,91,4,False
508,Mantyke,458,Water,Flying,345,45,20,50,60,120,50,4,False
509,Snover,459,Grass,Ice,334,60,62,50,62,60,40,4,False
510,Abomasnow,460,Grass,Ice,494,90,92,75,92,85,60,4,False
511,AbomasnowMega Abomasnow,460-mega,Grass,Ice,594,90,132,105,132,105,30,4,False
512,Weavile,461,Dark,Ice,510,70,120,65,45,85,125,4,False
513,Magnezone,462,Electric,Steel,535,70,70,115,130,90,60,4,False
514,Lickilicky,463,Normal,,515,110,85,95,80,95,50,4,False
515,Rhyperior,464,Ground,Rock,535,115,140,130,55,55,40,4,False
516,Tangrowth,465,Grass,,535,100,100,125,110,50,50,4,False
517,Electivire,466,Electric,,540,75,123,67,95,85,95,4,False
518,Magmortar,467,Fire,,540,75,95,67,125,95,83,4,False
519,Togekiss,468,Fairy,Flying,545,85,50,95,120,115,80,4,False
520,Yanmega,469,Bug,Flying,515,86,76,86,116,56,95,4,False
521,Leafeon,470,Grass,,525,65,110,130,60,65,95,4,False
522,Glaceon,471,Ice,,525,65,60,110,130,95,65,4,False
523,Gliscor,472,Ground,Flying,510,75,95,125,45,75,95,4,False
524,Mamoswine,473,Ice,Ground,530,110,130,80,70,60,80,4,False
525,Porygon-Z,474,Normal,,535,85,80,70,135,75,90,4,False
526,Gallade,475,Psychic,Fighting,518,68,125,65,65,115,80,4,False
527,GalladeMega Gallade,475-mega,Psychic,Fighting,618,68,165,95,65,115,110,4,False
528,Probopass,476,Rock,Steel,525,60,55,145,75,150,40,4,False
529,Dusknoir,477,Ghost,,525,45,100,135,65,135,45,4,False
530,Froslass,478,Ice,Ghost,480,70,80,70,80,70,110,4,False
531,Rotom,479,Electric,Ghost,440,50,50,77,95,77,91,4,False
532,RotomHeat Rotom,479-heat,Electric,Fire,520,50,65,107,105,107,86,4,False
533,RotomWash Rotom,479-wash,Electric,Water,520,50,65,107,105,107,86,4,False
534,RotomFrost Rotom,479-frost,Electric,Ice,520,50,65,107,105,107,86,4,False
535,RotomFan Rotom,479-fan,Electric,Flying,520,50,65,107,105,107,86,4,False
536,RotomMow Rotom,479-mow,Electric,Grass,520,50,65,107,105,107,86,4,False
537,Uxie,480,Psychic,,580,75,75,130,75,130,95,4,True
538,Mesprit,481,Psychic,,580,80,105,105,105,105,80,4,True
539,Azelf,482,Psychic,,580,75,125,70,125,70,115,4,True
540,Dialga,483,Steel,Dragon,680,100,120,120,150,100,90,4,True
541,Palkia,484,Water,Dragon,680,90,120,100,150,120,100,4,True
542,Heatran,485,Fire,Steel,600,91,90,106,130,106,77,4,True
543,Regigigas,486,Normal,,670,110,160,110,80,110,100,4,True
544,GiratinaAltered Forme,487-altered,Ghost,Dragon,680,150,100,120,100,120,90,4,True
545,GiratinaOrigin Forme,487-origin,Ghost,Dragon,680,150,120,100,120,100,90,4,True
546,Cresselia,488,Psychic,,600,120,70,120,75,130,85,4,False
547,Phione,489,Water,,480,80,80,80,80,80,80,4,False
548,Manaphy,490,Water,,600,100,100,100,100,100,100,4,False
549,Darkrai,491,Dark,,600,70,90,90,135,90,125,4,True
550,ShayminLand Forme,492-land,Grass,,600,100,100,100,100,100,100,4,True
551,ShayminSky Forme,492-sky,Grass,Flying,600,100,103,75,120,75,127,4,True
552,Arceus,493,Normal,,720,120,120,120,120,120,120,4,True
553,Victini,494,Psychic,Fire,600,100,100,100,100,100,100,5,True
554,Snivy,495,Grass,,308,45,45,55,45,55,63,5,False
555,Servine,496,Grass,,413,60,60,75,60,75,83,5,False
556,Serperior,497,Grass,,528,75,75,95,75,95,113,5,False
557,Tepig,498,Fire,,308,65,63,45,45,45,45,5,False
558,Pignite,499,Fire,Fighting,418,90,93,55,70,55,55,5,False
559,Emboar,500,Fire,Fighting,528,110,123,65,100,65,65,5,False
560,Oshawott,501,Water,,308,55,55,45,63,45,45,5,False
561,Dewott,502,Water,,413,75,75,60,83,60,60,5,False
562,Samurott,503,Water,,528,95,100,85,108,70,70,5,False
563,Patrat,504,Normal,,255,45,55,39,35,39,42,5,False
564,Watchog,505,Normal,,420,60,85,69,60,69,77,5,False
565,Lillipup,506,Normal,,275,45,60,45,25,45,55,5,False
566,Herdier,507,Normal,,370,65,80,65,35,65,60,5,False
567,Stoutland,508,Normal,,500,85,110,90,45,90,80,5,False
568,Purrloin,509,Dark,,281,41,50,37,50,37,66,5,False
569,Liepard,510,Dark,,446,64,88,50,88,50,106,5,False
570,Pansage,511,Grass,,316,50,53,48,53,48,64,5,False
571,Simisage,512,Grass,,498,75,98,63,98,63,101,5,False
572,Pansear,513,Fire,,316,50,53,48,53,48,64,5,False
573,Simisear,514,Fire,,498,75,98,63,98,63,101,5,False
574,Panpour,515,Water,,316,50,53,48,53,48,64,5,False
575,Simipour,516,Water,,498,75,98,63,98,63,101,5,False
576,Munna,517,Psychic,,292,76,25,45,67,55,24,5,False
577,Musharna,518,Psychic,,487,116,55,85,107,95,29,5,False
578,Pidove,519,Normal,Flying,264,50,55,50,36,30,43,5,False
579,Tranquill,520,Normal,Flying,358,62,77,62,50,42,65,5,False
580,Unfezant,521,Normal,Flying,488,80,115,80,65,55,93,5,False
581,Blitzle,522,Electric,,295,45,60,32,50,32,76,5,False
582,Zebstrika,523,Electric,,497,75,100,63,80,63,116,5,False
583,Roggenrola,524,Rock,,280,55,75,85,25,25,15,5,False
584,Boldore,525,Rock,,390,70,105,105,50,40,20,5,False
585,Gigalith,526,Rock,,515,85,135,130,60,80,25,5,False
586,Woobat,527,Psychic,Flying,313,55,45,43,55,43,72,5,False
587,Swoobat,528,Psychic,Flying,425,67,57,55,77,55,114,5,False
588,Drilbur,529,Ground,,328,60,85,40,30,45,68,5,False
589,Excadrill,530,Ground,Steel,508,110,135,60,50,65,88,5,False
590,Audino,531,Normal,,445,103,60,86,60,86,50,5,False
591,AudinoMega Audino,531-mega,Normal,Fairy,545,103,60,126,80,126,50,5,False
592,Timburr,532,Fighting,,305,75,80,55,25,35,35,5,False
593,Gurdurr,533,Fighting,,405,85,105,85,40,50,40,5,False
594,Conkeldurr,534,Fighting,,505,105,140,95,55,65,45,5,False
595,Tympole,535,Water,,294,50,50,40,50,40,64,5,False
596,Palpitoad,536,Water,Ground,384,75,65,55,65,55,69,5,False
597,Seismitoad,537,Water,Ground,509,105,95,75,85,75,74,5,False
598,Throh,538,Fighting,,465,120,100,85,30,85,45,5,False
599,Sawk,539,Fighting,,465,75,125,75,30,75,85,5,False
600,Sewaddle,540,Bug,Grass,310,45,53,70,40,60,42,5,False
601,Swadloon,541,Bug,Grass,380,55,63,90,50,80,42,5,False
602,Leavanny,542,Bug,Grass,500,75,103,80,70,80,92,5,False
603,Venipede,543,Bug,Poison,260,30,45,59,30,39,57,5,False
604,Whirlipede,544,Bug,Poison,360,40,55,99,40,79,47,5,False
605,Scolipede,545,Bug,Poison,485,60,100,89,55,69,112,5,False
606,Cottonee,546,Grass,Fairy,280,40,27,60,37,50,66,5,False
607,Whimsicott,547,Grass,Fairy,480,60,67,85,77,75,116,5,False
608,Petilil,548,Grass,,280,45,35,50,70,50,30,5,False
609,Lilligant,549,Grass,,480,70,60,75,110,75,90,5,False
610,Basculin,550,Water,,460,70,92,65,80,55,98,5,False
611,Sandile,551,Ground,Dark,292,50,72,35,35,35,65,5,False
612,Krokorok,552,Ground,Dark,351,60,82,45,45,45,74,5,False
613,Krookodile,553,Ground,Dark,519,95,117,80,65,70,92,5,False
614,Darumaka,554,Fire,,315,70,90,45,15,45,50,5,False
615,DarmanitanStandard Mode,555-standard,Fire,,480,105,140,55,30,55,95,5,False
616,DarmanitanZen Mode,555-zen,Fire,Psychic,540,105,30,105,140,105,55,5,False
617,Maractus,556,Grass,,461,75,86,67,106,67,60,5,False
618,Dwebble,557,Bug,Rock,325,50,65,85,35,35,55,5,False
619,Crustle,558,Bug,Rock,475,70,95,125,65,75,45,5,False
620,Scraggy,559,Dark,Fighting,348,50,75,70,35,70,48,5,False
621,Scrafty,560,Dark,Fighting,488,65,90,115,45,115,58,5,False
622,Sigilyph,561,Psychic,Flying,490,72,58,80,103,80,97,5,False
623,Yamask,562,Ghost,,303,38,30,85,55,65,30,5,False
624,Cofagrigus,563,Ghost,,483,58,50,145,95,105,30,5,False
625,Tirtouga,564,Water,Rock,355,54,78,103,53,45,22,5,False
626,Carracosta,565,Water,Rock,495,74,108,133,83,65,32,5,False
627,Archen,566,Rock,Flying,401,55,112,45,74,45,70,5,False
628,Archeops,567,Rock,Flying,567,75,140,65,112,65,110,5,False
629,Trubbish,568,Poison,,329,50,50,62,40,62,65,5,False
630,Garbodor,569,Poison,,474,80,95,82,60,82,75,5,False
631,Zorua,570,Dark,,330,40,65,40,80,40,65,5,False
632,Zoroark,571,Dark,,510,60,105,60,120,60,105,5,False
633,Minccino,572,Normal,,300,55,50,40,40,40,75,5,False
634,Cinccino,573,Normal,,470,75,95,60,65,60,115,5,False
635,Gothita,574,Psychic,,290,45,30,50,55,65,45,5,False
636,Gothorita,575,Psychic,,390,60,45,70,75,85,55,5,False
637,Gothitelle,576,Psychic,,490,70,55,95,95,110,65,5,False
638,Solosis,577,Psychic,,290,45,30,40,105,50,20,5,False
639,Duosion,578,Psychic,,370,65,40,50,125,60,30,5,False
640,Reuniclus,579,Psychic,,490,110,65,75,125,85,30,5,False
641,Ducklett,580,Water,Flying,305,62,44,50,44,50,55,5,False
642,Swanna,581,Water,Flying,473,75,87,63,87,63,98,5,False
643,Vanillite,582,Ice,,305,36,50,50,65,60,44,5,False
644,Vanillish,583,Ice,,395,51,65,65,80,75,59,5,False
645,Vanilluxe,584,Ice,,535,71,95,85,110,95,79,5,False
646,Deerling,585,Normal,Grass,335,60,60,50,40,50,75,5,False
647,Sawsbuck,586,Normal,Grass,475,80,100,70,60,70,95,5,False
648,Emolga,587,Electric,Flying,428,55,75,60,75,60,103,5,False
649,Karrablast,588,Bug,,315,50,75,45,40,45,60,5,False
650,Escavalier,589,Bug,Steel,495,70,135,105,60,105,20,5,False
651,Foongus,590,Grass,Poison,294,69,55,45,55,55,15,5,False
652,Amoonguss,591,Grass,Poison,464,114,85,70,85,80,30,5,False
653,Frillish,592,Water,Ghost,335,55,40,50,65,85,40,5,False
654,Jellicent,593,Water,Ghost,480,100,60,70,85,105,60,5,False
655,Alomomola,594,Water,,470,165,75,80,40,45,65,5,False
656,Joltik,595,Bug,Electric,319,50,47,50,57,50,65,5,False
657,Galvantula,596,Bug,Electric,472,70,77,60,97,60,108,5,False
658,Ferroseed,597,Grass,Steel,305,44,50,91,24,86,10,5,False
659,Ferrothorn,598,Grass,Steel,489,74,94,131,54,116,20,5,False
660,Klink,599,Steel,,300,40,55,70,45,60,30,5,False
661,Klang,600,Steel,,440,60,80,95,70,85,50,5,False
662,Klinklang,601,Steel,,520,60,100,115,70,85,90,5,False
663,Tynamo,602,Electric,,275,35,55,40,45,40,60,5,False
664,Eelektrik,603,Electric,,405,65,85,70,75,70,40,5,False
665,Eelektross,604,Electric,,515,85,115,80,105,80,50,5,False
666,Elgyem,605,Psychic,,335,55,55,55,85,55,30,5,False
667,Beheeyem,606,Psychic,,485,75,75,75,125,95,40,5,False
668,Litwick,607,Ghost,Fire,275,50,30,55,65,55,20,5,False
669,Lampent,608,Ghost,Fire,370,60,40,60,95,60,55,5,False
670,Chandelure,609,Ghost,Fire,520,60,55,90,145,90,80,5,False
671,Axew,610,Dragon,,320,46,87,60,30,40,57,5,False
672,Fraxure,611,Dragon,,410,66,117,70,40,50,67,5,False
673,Haxorus,612,Dragon,,540,76,147,90,60,70,97,5,False
674,Cubchoo,613,Ice,,305,55,70,40,60,40,40,5,False
675,Beartic,614,Ice,,485,95,110,80,70,80,50,5,False
676,Cryogonal,615,Ice,,485,70,50,30,95,135,105,5,False
677,Shelmet,616,Bug,,305,50,40,85,40,65,25,5,False
678,Accelgor,617,Bug,,495,80,70,40,100,60,145,5,False
679,Stunfisk,618,Ground,Electric,471,109,66,84,81,99,32,5,False
680,Mienfoo,619,Fighting,,350,45,85,50,55,50,65,5,False
681,Mienshao,620,Fighting,,510,65,125,60,95,60,105,5,False
682,Druddigon,621,Dragon,,485,77,120,90,60,90,48,5,False
683,Golett,622,Ground,Ghost,303,59,74,50,35,50,35,5,False
684,Golurk,623,Ground,Ghost,483,89,124,80,55,80,55,5,False
685,Pawniard,624,Dark,Steel,340,45,85,70,40,40,60,5,False
686,Bisharp,625,Dark,Steel,490,65,125,100,60,70,70,5,False
687,Bouffalant,626,Normal,,490,95,110,95,40,95,55,5,False
688,Rufflet,627,Normal,Flying,350,70,83,50,37,50,60,5,False
689,Braviary,628,Normal,Flying,510,100,123,75,57,75,80,5,False
690,Vullaby,629,Dark,Flying,370,70,55,75,45,65,60,5,False
691,Mandibuzz,630,Dark,Flying,510,110,65,105,55,95,80,5,False
692,Heatmor,631,Fire,,484,85,97,66,105,66,65,5,False
693,Durant,632,Bug,Steel,484,58,109,112,48,48,109,5,False
694,Deino,633,Dark,Dragon,300,52,65,50,45,50,38,5,False
695,Zweilous,634,Dark,Dragon,420,72,85,70,65,70,58,5,False
696,Hydreigon,635,Dark,Dragon,600,92,105,90,125,90,98,5,False
697,Larvesta,636,Bug,Fire,360,55,85,55,50,55,60,5,False
698,Volcarona,637,Bug,Fire,550,85,60,65,135,105,100,5,False
699,Cobalion,638,Steel,Fighting,580,91,90,129,90,72,108,5,True
700,Terrakion,639,Rock,Fighting,580,91,129,90,72,90,108,5,True
701,Virizion,640,Grass,Fighting,580,91,90,72,90,129,108,5,True
702,TornadusIncarnate Forme,641-incarnate,Flying,,580,79,115,70,125,80,111,5,True
703,TornadusTherian Forme,641-therion,Flying,,580,79,100,80,110,90,121,5,True
704,ThundurusIncarnate Forme,642-incarnate,Electric,Flying,580,79,115,70,125,80,111,5,True
705,ThundurusTherian Forme,642-therion,Electric,Flying,580,79,105,70,145,80,101,5,True
706,Reshiram,643,Dragon,Fire,680,100,120,100,150,120,90,5,True
707,Zekrom,644,Dragon,Electric,680,100,150,120,120,100,90,5,True
708,LandorusIncarnate Forme,645-incarnate,Ground,Flying,600,89,125,90,115,80,101,5,True
709,LandorusTherian Forme,645-therion,Ground,Flying,600,89,145,90,105,80,91,5,True
710,Kyurem,646,Dragon,Ice,660,125,130,90,130,90,95,5,True
711,KyuremBlack Kyurem,646-black,Dragon,Ice,700,125,170,100,120,90,95,5,True
712,KyuremWhite Kyurem,646-white,Dragon,Ice,700,125,120,90,170,100,95,5,True
713,KeldeoOrdinary Forme,647-ordinary,Water,Fighting,580,91,72,90,129,90,108,5,False
714,KeldeoResolute Forme,647-resolute,Water,Fighting,580,91,72,90,129,90,108,5,False
715,MeloettaAria Forme,648,Normal,Psychic,600,100,77,77,128,128,90,5,False
716,MeloettaPirouette Forme,648-pirouette,Normal,Fighting,600,100,128,90,77,77,128,5,False
717,Genesect,649,Bug,Steel,600,71,120,95,120,95,99,5,False
718,Chespin,650,Grass,,313,56,61,65,48,45,38,6,False
719,Quilladin,651,Grass,,405,61,78,95,56,58,57,6,False
720,Chesnaught,652,Grass,Fighting,530,88,107,122,74,75,64,6,False
721,Fennekin,653,Fire,,307,40,45,40,62,60,60,6,False
722,Braixen,654,Fire,,409,59,59,58,90,70,73,6,False
723,Delphox,655,Fire,Psychic,534,75,69,72,114,100,104,6,False
724,Froakie,656,Water,,314,41,56,40,62,44,71,6,False
725,Frogadier,657,Water,,405,54,63,52,83,56,97,6,False
726,Greninja,658,Water,Dark,530,72,95,67,103,71,122,6,False
727,Bunnelby,659,Normal,,237,38,36,38,32,36,57,6,False
728,Diggersby,660,Normal,Ground,423,85,56,77,50,77,78,6,False
729,Fletchling,661,Normal,Flying,278,45,50,43,40,38,62,6,False
730,Fletchinder,662,Fire,Flying,382,62,73,55,56,52,84,6,False
731,Talonflame,663,Fire,Flying,499,78,81,71,74,69,126,6,False
732,Scatterbug,664,Bug,,200,38,35,40,27,25,35,6,False
733,Spewpa,665,Bug,,213,45,22,60,27,30,29,6,False
734,Vivillon,666,Bug,Flying,411,80,52,50,90,50,89,6,False
735,Litleo,667,Fire,Normal,369,62,50,58,73,54,72,6,False
736,Pyroar,668,Fire,Normal,507,86,68,72,109,66,106,6,False
737,Flabébé,669,Fairy,,303,44,38,39,61,79,42,6,False
738,Floette,670,Fairy,,371,54,45,47,75,98,52,6,False
739,Florges,671,Fairy,,552,78,65,68,112,154,75,6,False
740,Skiddo,672,Grass,,350,66,65,48,62,57,52,6,False
741,Gogoat,673,Grass,,531,123,100,62,97,81,68,6,False
742,Pancham,674,Fighting,,348,67,82,62,46,48,43,6,False
743,Pangoro,675,Fighting,Dark,495,95,124,78,69,71,58,6,False
744,Furfrou,676,Normal,,472,75,80,60,65,90,102,6,False
745,Espurr,677,Psychic,,355,62,48,54,63,60,68,6,False
746,MeowsticMale,678-male,Psychic,,466,74,48,76,83,81,104,6,False
747,MeowsticFemale,678-female,Psychic,,466,74,48,76,83,81,104,6,False
748,Honedge,679,Steel,Ghost,325,45,80,100,35,37,28,6,False
749,Doublade,680,Steel,Ghost,448,59,110,150,45,49,35,6,False
750,AegislashBlade Forme,681-blade,Steel,Ghost,520,60,150,50,150,50,60,6,False
751,AegislashShield Forme,681-shield,Steel,Ghost,520,60,50,150,50,150,60,6,False
752,Spritzee,682,Fairy,,341,78,52,60,63,65,23,6,False
753,Aromatisse,683,Fairy,,462,101,72,72,99,89,29,6,False
754,Swirlix,684,Fairy,,341,62,48,66,59,57,49,6,False
755,Slurpuff,685,Fairy,,480,82,80,86,85,75,72,6,False
756,Inkay,686,Dark,Psychic,288,53,54,53,37,46,45,6,False
757,Malamar,687,Dark,Psychic,482,86,92,88,68,75,73,6,False
758,Binacle,688,Rock,Water,306,42,52,67,39,56,50,6,False
759,Barbaracle,689,Rock,Water,500,72,105,115,54,86,68,6,False
760,Skrelp,690,Poison,Water,320,50,60,60,60,60,30,6,False
761,Dragalge,691,Poison,Dragon,494,65,75,90,97,123,44,6,False
762,Clauncher,692,Water,,330,50,53,62,58,63,44,6,False
763,Clawitzer,693,Water,,500,71,73,88,120,89,59,6,False
764,Helioptile,694,Electric,Normal,289,44,38,33,61,43,70,6,False
765,Heliolisk,695,Electric,Normal,481,62,55,52,109,94,109,6,False
766,Tyrunt,696,Rock,Dragon,362,58,89,77,45,45,48,6,False
767,Tyrantrum,697,Rock,Dragon,521,82,121,119,69,59,71,6,False
768,Amaura,698,Rock,Ice,362,77,59,50,67,63,46,6,False
769,Aurorus,699,Rock,Ice,521,123,77,72,99,92,58,6,False
770,Sylveon,700,Fairy,,525,95,65,65,110,130,60,6,False
771,Hawlucha,701,Fighting,Flying,500,78,92,75,74,63,118,6,False
772,Dedenne,702,Electric,Fairy,431,67,58,57,81,67,101,6,False
773,Carbink,703,Rock,Fairy,500,50,50,150,50,150,50,6,False
774,Goomy,704,Dragon,,300,45,50,35,55,75,40,6,False
775,Sliggoo,705,Dragon,,452,68,75,53,83,113,60,6,False
776,Goodra,706,Dragon,,600,90,100,70,110,150,80,6,False
777,Klefki,707,Steel,Fairy,470,57,80,91,80,87,75,6,False
778,Phantump,708,Ghost,Grass,309,43,70,48,50,60,38,6,False
779,Trevenant,709,Ghost,Grass,474,85,110,76,65,82,56,6,False
780,PumpkabooAverage Size,710-Avg,Ghost,Grass,335,49,66,70,44,55,51,6,False
781,PumpkabooSmall Size,710-Sm,Ghost,Grass,335,44,66,70,44,55,56,6,False
782,PumpkabooLarge Size,710-Lrg,Ghost,Grass,335,54,66,70,44,55,46,6,False
783,PumpkabooSuper Size,710-Supr,Ghost,Grass,335,59,66,70,44,55,41,6,False
